id,text_span,label,Arabic
111111111,The next transmission could be more pronounced or stronger,Appeal_to_Authority,يمكن أن يكون الإرسال التالي أكثر وضوحًا أو أقوى.
111111111,it could even spill over into neighbouring countries and beyond,Appeal_to_fear-prejudice,بل يمكن أن يمتد إلى البلدان المجاورة وخارجها.
111111111,the magnitude in the next transmission could be higher,Appeal_to_fear-prejudice,يمكن أن يكون الحجم في الإرسال التالي أعلى
111111111,but warned that the danger was not over,Appeal_to_fear-prejudice,لكنه حذر من أن الخطر لم ينته بعد
111111111,"He also pointed to the presence of the pneumonic version, which spreads more easily and is more virulent, in the latest outbreak",Appeal_to_fear-prejudice,كما أشار إلى وجود النسخة الرئوية، التي تنتشر بسهولة أكبر وأكثر ضراوة، في آخر تفشي
111111111,"a very, very different",Repetition,مختلف جدا جدا
111111111,appeared,Doubt,ظهرت
111111111,"when (the plague) comes again it starts from more stock, and the magnitude in the next transmission could be higher than the one that we saw",Appeal_to_Authority,عندما يأتي (الطاعون) مرة أخرى يبدأ من المزيد من المخزون، ويمكن أن يكون حجم الإرسال التالي أعلى من الذي رأيناه
111111112,"Defeat Jihad""",Slogans,هزيمة الجهاد»
111111112,We condemn all those whose behaviours and views run counter to our shared values,Black-and-White_Fallacy,نحن ندين كل أولئك الذين تتعارض سلوكياتهم ووجهات نظرهم مع قيمنا المشتركة.
111111112,so-called land of democracy and freedom of speech,"Name_Calling,Labeling",ما يسمى أرض الديمقراطية وحرية التعبير
111111112,a striking blow against freedom,Loaded_Language,ضربة صارخة ضد الحرية
111111112,"The UK should never become a stage for inflammatory speakers who promote hate.""",Flag-Waving,يجب ألا تصبح المملكة المتحدة أبدًا مرحلة للمتحدثين التحريضيين الذين يروجون للكراهية».
111111112,hate preachers,"Name_Calling,Labeling",يكرهون الدعاة
111111112,"the nation that gave the world the Magna Carta is dead""",Loaded_Language,الأمة التي أعطت العالم الماجنا كارتا قد ماتت»
111111112,Stop Islamization of America,Slogans,أوقفوا أسلمة أمريكا
111111112,"delighted"" with the decision",Loaded_Language,مسرور» بالقرار
111111113,"BUILD THE WALL!""",Slogans,بناء الجدار!»
111111113,The Kate Steinle killer,"Name_Calling,Labeling",قاتل كيت ستاينل
111111113,alien,Loaded_Language,أجنبي
111111113,firestorm of outrage,Loaded_Language,عاصفة نارية من الغضب
111111113,a complete travesty of justice,Loaded_Language,مهزلة كاملة للعدالة
111111113,"This tragedy could have been prevented if San Francisco had simply turned the alien over to ICE as we requested, instead of releasing him back onto the streets,""",Causal_Oversimplification,كان من الممكن منع هذه المأساة لو كانت سان فرانسيسكو قد سلمت الأجنبي ببساطة إلى ICE كما طلبنا، بدلاً من إطلاق سراحه مرة أخرى إلى الشوارع».
111111113,pinned blame for Steinle's death on illegal immigration and insufficiently aggressive deportation policies,Causal_Oversimplification,ألقى اللوم على وفاة ستاينل على الهجرة غير الشرعية وسياسات الترحيل غير العدوانية بما فيه الكفاية
111111113,"politicians across this country continue to endanger the lives of Americans with sanctuary policies while ignoring the harm inflicted on their constituents.""","Whataboutism,Straw_Men,Red_Herring",يواصل السياسيون في جميع أنحاء هذا البلد تعريض حياة الأمريكيين بسياسات الملاذ للخطر بينما يتجاهلون الضرر الذي لحق بناخبيهم».
111111113,"sanctuary"" policy","Name_Calling,Labeling",سياسة الملاذ
111111113,hair trigger in single-action mode,Loaded_Language,مشغل الشعر في وضع العمل الفردي
111111113,Steinle would still be alive were it not for an insecure border and lenient treatment toward suspected undocumented immigrants in local jails,Causal_Oversimplification,سيظل ستاينل على قيد الحياة لولا الحدود غير الآمنة والمعاملة المتساهلة تجاه المهاجرين المشتبه بهم غير الموثقين في السجون المحلية.
111111114,they fear they could face discrimination or violence if forced to return to the world’s largest Muslim-majority country,Appeal_to_fear-prejudice,يخشون أن يواجهوا التمييز أو العنف إذا أجبروا على العودة إلى أكبر دولة ذات أغلبية مسلمة في العالم.
111111115,"wet, open-mouthed kiss""",Loaded_Language,قبلة رطبة ومفتوحة الفم»
111111115,"aggressively stuck his tongue in my mouth""",Loaded_Language,تمسك لسانه بقوة في فمي»
111111115,"and squeezed ""at least twice""",Loaded_Language,وتقلص «مرتين على الأقل»
111111115,"Franken's office said he has not ""intentionally engage in"" the ""kind of conduct"" described",Appeal_to_Authority,وقال مكتب فرانكن انه لم «ينخرط عمدا في» «نوع السلوك» الموصوف
111111117,the delay signaled the White House was having second thoughts about the nomination,Causal_Oversimplification,يشير التأخير إلى أن البيت الأبيض كان لديه أفكار ثانية حول الترشيح
111111122,ugly ways,Loaded_Language,طرق قبيحة
111111122,"As the political scientist Richard Neustadt said, political elites are constantly evaluating and re-evaluating the president",Appeal_to_Authority,وكما قال العالم السياسي ريتشارد نيوستادت، تقوم النخب السياسية بتقييم الرئيس وإعادة تقييمه باستمرار.
111111122,cut-of-his-jib test,Loaded_Language,اختبار قطع ذكائه
111111122,someone who hires based on what he thinks someone doing that job should look like,Causal_Oversimplification,شخص يستأجر بناءً على ما يعتقد أن شخصًا ما يقوم بهذا العمل يجب أن يبدو
111111122,Trump and his White House staff failed to do their jobs,Doubt,فشل ترامب وموظفيه في البيت الأبيض في القيام بعملهم
111111122,bombshells,Loaded_Language,قذائف
111111122,"partisan, conservative judges","Name_Calling,Labeling",قضاة حزبيين ومحافظين
111111122,a gang that can’t shoot straight,"Name_Calling,Labeling",عصابة لا تستطيع إطلاق النار بشكل مستقيم
111111122,hazy old-time Hollywood casting,Loaded_Language,صب هوليوود ضبابي قديم
111111122,extremely high-profile episode,"Exaggeration,Minimisation",حلقة رفيعة المستوى للغاية
111111122,a slur on all women,Loaded_Language,افتراء على جميع النساء
111111122,Exploding in Trump’s Face,Loaded_Language,تنفجر في وجه ترامب
111111122,severe trouble,Loaded_Language,مشكلة شديدة
111111122,cut-of-his-jib test,Loaded_Language,اختبار قطع ذكائه
111111122,reality-TV star’s,"Name_Calling,Labeling",نجوم تلفزيون الواقع
111111122,reflected the reality-TV star’s weakness as a presidential candidate,Doubt,يعكس ضعف نجم تلفزيون الواقع كمرشح رئاسي
111111122,how badly Trump does his job,Doubt,مدى سوء ترامب يقوم بعمله
111111122,complete hash,Loaded_Language,تجزئة كاملة
111111122,the biggest political gift possible,"Exaggeration,Minimisation",أكبر هدية سياسية ممكنة
111111122,Trump is easily manipulated by those around him,Doubt,يتم التلاعب بترامب بسهولة من قبل من حوله
111111122,Trump hasn’t learned it yet,Doubt,ترامب لم يتعلمها بعد
111111123,hypocritical,Loaded_Language,منافق
111111124,a partisan memo,"Name_Calling,Labeling",مذكرة حزبية
111111124,are blasting,Loaded_Language,يتم التفجير
111111124,a President who cares about nothing about the country and everything about his narrow self-interest,"Name_Calling,Labeling",الرئيس الذي لا يهتم بأي شيء عن البلاد وكل شيء عن مصلحته الذاتية الضيقة
111111124,were scrambling,Loaded_Language,كانوا يتدافعون
111111124,sheer number,"Exaggeration,Minimisation",رقم محض
111111124,has blasted,Loaded_Language,وقد انتقد
