id,text_span,label,Arabic
706088110,illegal aliens,Repetition,الأجانب غير القانونيين
787085939,Miserably,Loaded_Language,بائسة
776049384,tyrannical,Loaded_Language,الاستبدادية
776385494,"untraceable, undetectable plastic weapons",Repetition,أسلحة بلاستيكية لا يمكن تعقبها، لا يمكن اكتشافها
111111135,Jews were “responsible for all of this filth and degenerate behavior that Hollywood is putting out turning men into women and women into men,Causal_Oversimplification,كان اليهود «مسؤولين عن كل هذا السلوك القذارة والانحطاط الذي تضعه هوليوود لتحويل الرجال إلى نساء ونساء إلى رجال.
759468687,to the religious tapestry of American life,Repetition,إلى النسيج الديني للحياة الأمريكية
769752554,racial slur,Loaded_Language,افتراء عنصري
999000159,riding on the line,Loaded_Language,ركوب على الخط
737255982,Jewish question,Slogans,سؤال يهودي
711716996,a dull lot,"Name_Calling,Labeling",الكثير مملة
738447109,"This is more of the same old, same old going on",Thought-terminating_Cliches,هذا هو أكثر من نفس القديم، نفس القديم يحدث
759468687,willful blindness,Loaded_Language,العمى المتعمد
778664280,To make matters worse (if that is even possible,"Exaggeration,Minimisation",لجعل الأمور أسوأ (إذا كان ذلك ممكنًا
771879020,"Clearly, they were acting unlawfully when they did what they did",Causal_Oversimplification,من الواضح أنهم كانوا يتصرفون بشكل غير قانوني عندما فعلوا ما فعلوه
111111131,historic,Repetition,تاريخي
698018235,burn crosses on their lawn,Loaded_Language,حرق الصلبان على العشب
764518567,infamous,Repetition,سيئة السمعة
765197039,the highest dignity,"Exaggeration,Minimisation",أعلى كرامة
780787440,"With shame and repentance, we acknowledge as an ecclesial community that we were not where we should have been, that we did not act in a timely manner, realizing the magnitude and the gravity of the damage done to so many lives.
We showed no care for the little ones; we abandoned them",Doubt,"بالعار والتوبة، نعترف كمجتمع كنسي بأننا لم نكن في المكان الذي كان ينبغي أن نكون فيه، وأننا لم نتصرف في الوقت المناسب، مدركين حجم وخطورة الضرر الذي لحق بالعديد من الأرواح.
لم نبدي أي رعاية للصغار؛ لقد تخلينا عنهم"
793534424,enemedia,Loaded_Language,إنيميديا
111111135,to condemn,Loaded_Language,لإدانة
761722669,sexual assault,Loaded_Language,اعتداء جنسي
707772906,very weak statement,"Exaggeration,Minimisation",بيان ضعيف للغاية
707451080,exposed his private parts to a female staffer,Loaded_Language,تعرض أجزائه الخاصة لموظفة
701939679,"We can only hope that learned imams such as Pope Francis and H.R.
McMaster will go to Virginia forthwith and explain to Mohamad Jamal Khweis the proper understanding of the Religion of Peace",Doubt,"لا يسعنا إلا أن نأمل أن يتعلم الأئمة مثل البابا فرنسيس و H.R.
سيذهب ماكماستر إلى فرجينيا على الفور ويشرح لمحمد جمال خويس الفهم الصحيح لدين السلام."
773520636,"Representatives work for us, we do not work for them",Slogans,يعمل الممثلون من أجلنا، نحن لا نعمل من أجلهم
713130996,"Unlike Stalin’s trials of the old Bolsheviks, and Fidel Castro’ trial of General Arnaldo Ochoa, this show trial aimed to establish innocence for the guilty, and the dynamics of the left were on full display","Bandwagon,Reductio_ad_hitlerum","على عكس محاكمات ستالين للبلاشفة القدامى, ومحاكمة فيدل كاسترو للجنرال أرنالدو أوتشوا, هدفت محاكمة العرض هذه إلى إثبات براءة المذنبين, وكانت ديناميكيات اليسار معروضة بالكامل"
772836731,"Today, right now, at this moment, we are faced with a massive effort of the military/security complex, the neoconservatives, the Democratic Party, and the presstitute media to discredit the elected President of the United States and to overthrow him in order that the utterly corrupt elite that rule American can continue to hold on to power and to protect the massive budget of the military/security complex that, along with the Israel Lobby, funds the elections of those who rule us",Flag-Waving,"اليوم، الآن، في هذه اللحظة، نواجه جهدا هائلا من المجمع العسكري/الأمني، المحافظين الجدد، الحزب الديمقراطي، ووسائل الإعلام البغيضة لتشويه سمعة الرئيس المنتخب للولايات المتحدة والإطاحة به من أجل أن النخبة الفاسدة تماما التي تحكم أمريكا يمكن مواصلة التمسك بالسلطة و حماية الميزانية الضخمة لل مجمع العسكري/الأمني الذي يمول, جنبا إلى جنب مع اللوبي الإسرائيلي, انتخابات أولئك الذين يحكموننا"
788056108,the negligence of time-serving pastors who left their sheep completely undefended against the wolves who preyed upon them,Loaded_Language,إهمال القساوسة الذين يخدمون الوقت الذين تركوا أغنامهم دون دفاع تمامًا ضد الذئاب التي تفترسها
727736557,posted an article this week that pointed to Haig's background in the aerospace industry as a sign of U.S. government involvement in the massacre,Causal_Oversimplification,نشرت مقالا هذا الأسبوع أشار إلى خلفية هيج في صناعة الطيران كعلامة على تورط الحكومة الأمريكية في المجزرة
773520636,the corrupt King,"Name_Calling,Labeling",الملك الفاسد
111111124,Trump] has decided to intervene in a pending law enforcement investigation by ordering the selective release of materials he believes are helpful to his defense team and thinks will advance a false narrative,Causal_Oversimplification,[ترامب]] قرر التدخل في تحقيق معلق لإنفاذ القانون من خلال الأمر بالإفراج الانتقائي عن المواد التي يعتقد أنها مفيدة لفريق دفاعه ويعتقد أنها ستقدم رواية كاذبة.
762160164,how many more are there,Doubt,كم عدد أكثر هناك
723883127,all calumny,Loaded_Language,كل فالوني
773937361,Then it’s up to us,Slogans,ثم الأمر متروك لنا.
701225819,Grand Wizard of the Ku Klux Klan,"Name_Calling,Labeling",الساحر الكبير من كو كلوك كلان
783702663,imperiously scoffs,Loaded_Language,يسخر بسخرية
788056108,the former apostolic nuncio-turned-whistleblower,"Name_Calling,Labeling",القصد الرسولي السابق الذي تحول إلى المبلغين عن المخالفات
778730964,They Hate Islam,Slogans,إنهم يكرهون الإسلام
783774960,the New Mexico terror compound,"Name_Calling,Labeling",مجمع نيو مكسيكو الإرهابي
999000158,praised him,Loaded_Language,أشاد به
707451080,would grope all of our wives and girlfriend’s asses.”,Loaded_Language,سوف يتلمس جميع زوجاتنا وحمير صديقاتنا».
772947654,our,Flag-Waving,لنا
728343601,dramatically disrupted,Loaded_Language,تعطلت بشكل كبير
737194975,and ALL of Congress would have no rights,"Exaggeration,Minimisation",ولن يكون لجميع أعضاء الكونغرس أي حقوق
786527921,But of course they were both,Causal_Oversimplification,لكن بالطبع كانا كلاهما.
703821117,overwhelmingly,"Exaggeration,Minimisation",الغالبية الساحقة
772836731,deluded fools,"Name_Calling,Labeling",أحمق مخدوع
774637726,never,Repetition,أبدا
790483991,the most painful and serious decision that I have ever made in my life,"Exaggeration,Minimisation",القرار الأكثر إيلامًا وجدية الذي اتخذته في حياتي
697472447,so why change the narrative to make it even more unbelievable?,Doubt,فلماذا تغيير السرد لجعله أكثر لا يصدق؟
788173482,has been blasting,Loaded_Language,تم التفجير
738207834,progressive,"Name_Calling,Labeling",التقدمية
771655795,demanding that he take down his printable-gun blueprints or face prosecution for violating federal export controls,Appeal_to_fear-prejudice,مطالبا بأن ينزل مخططاته المسدسات القابلة للطباعة أو يواجه الملاحقة القضائية لانتهاكه ضوابط التصدير الفيدرالية
752287274,Muslim Dem IT Aides' Family Member,"Name_Calling,Labeling",أحد أفراد عائلة Muslim Dem IT Aides
781768042,the LORD,"Name_Calling,Labeling",الرب
725731328,God damn America,Slogans,لعنة الله أمريكا
786527921,"how much they hurt, how much they need support right now, and that they are coordinating in different offices to meet up to just hold each other",Loaded_Language,كم يؤذون، وكم يحتاجون إلى الدعم في الوقت الحالي، وأنهم ينسقون في مكاتب مختلفة للالتقاء لمجرد عقد بعضهم البعض
999001188,"Say, ‘Hola’ To Trump’s RAZOR Wire",Loaded_Language,قل «هولا» إلى أسلاك رازور لترامب
698503276,trying to clean up the mess,Loaded_Language,تحاول تنظيف الفوضى
770156851,There will be no turning back,Thought-terminating_Cliches,لن يكون هناك عودة
707566605,It Is ‘Inevitable’ The Plague Becomes Resistant To Drugs,Appeal_to_Authority,إنه أمر «لا مفر منه» أن الطاعون يصبح مقاومًا للأدوية
765385479,personal smear,Loaded_Language,اللطاخة الشخصية
759337941,Muslim spy ring,"Name_Calling,Labeling",حلقة تجسس مسلمة
765197039,innumerable examples,"Exaggeration,Minimisation",أمثلة لا حصر لها
721406153,fools,Repetition,الحمقى
771879020,"and I highly recommend the Wired article, which is quite lengthy and has lots of information",Appeal_to_Authority,وأنا أوصي بشدة بمقالة Wired، وهي طويلة جدًا ولديها الكثير من المعلومات.
788056108,to dispel the pious fable,Loaded_Language,لتبديد الحكاية الودية
765197039,a “battle” with the “entire religion,"Exaggeration,Minimisation",«معركة» مع «الدين بأكمله»
738207834,arch-conservative”,"Name_Calling,Labeling",اللدود المحافظ»
763260610,His journalistic brethren,"Name_Calling,Labeling",إخوته الصحفيين
763114850,"yet another uninformed, biased and ideologically motivated attack",Loaded_Language,هجوم آخر غير مستنير ومنحاز ودوافع إيديولوجية
770156173,Nuclear explosions would spread radioactive contamination over northern China and Pacific Russia,Appeal_to_fear-prejudice,ومن شأن التفجيرات النووية أن تنشر التلوث الإشعاعي فوق شمال الصين والمحيط الهادئ وروسيا
772836731,Today there are no countries less free than the United States of America,"Exaggeration,Minimisation",اليوم لا توجد دول أقل حرية من الولايات المتحدة الأمريكية.
770938827,unjust,"Name_Calling,Labeling",ظالم
789615291,politicians with one eye on the polls,"Name_Calling,Labeling",سياسيون بعيون واحدة على استطلاعات الرأي
785801366,Counter-Jihadists,"Name_Calling,Labeling",مكافحة الجهاديين
761674108,"""dangerous to our democracy.""","Name_Calling,Labeling",«خطير على ديمقراطيتنا».
761969692,America First,Flag-Waving,أمريكا فيرست
790677230,character assassination,Slogans,اغتيال شخصية
999000312,"The right wing Ecuadorean government of President Moreno continues to churn out its production line of fake documents regarding Julian Assange, and channel them straight to MI6 mouthpiece Luke Harding of the Guardian",Doubt,"تواصل الحكومة الإكوادورية اليمينية للرئيس مورينو إنتاج خط إنتاجها للوثائق المزيفة المتعلقة بجوليان أسانج, وتوجيهها مباشرة إلى لسان حال MI6 لوك هاردينغ من الغارديان."
757713354,stupidest,"Exaggeration,Minimisation",أغبى
786919720,ridiculous,Loaded_Language,سخيف
738207834,schizophrenia,Loaded_Language,فصام
111111122,the biggest political gift possible,"Exaggeration,Minimisation",أكبر هدية سياسية ممكنة
790665855,Privacy advocates must fight,Appeal_to_Authority,يجب على دعاة الخصوصية القتال
789512681,minions,"Name_Calling,Labeling",التوابع
780619695,dirty,Loaded_Language,قذر
780414700,immense,Loaded_Language,هائل
697454736,I respectfully suggest that Dr. Fastiggi’s comments evince a need for serious study and reflection before he ventures further opinions on this controversy in public,Doubt,أقترح بكل احترام أن تعليقات الدكتور فاستيجي تثبت الحاجة إلى دراسة جادة والتفكير قبل أن يغامر بمزيد من الآراء حول هذا الجدل في الأماكن العامة
794344513,egregious,Loaded_Language,فظيعة
700461600,Would the American people support such a war with U.S. troops?,Flag-Waving,هل سيدعم الشعب الأمريكي مثل هذه الحرب مع القوات الأمريكية؟
707451080,"We are supposed to serve as an example to the rest of the world, and instead, we have become a bad joke",Flag-Waving,من المفترض أن نكون مثالاً لبقية العالم، وبدلاً من ذلك، أصبحنا مزحة سيئة
787759779,What a surprise,Loaded_Language,يا لها من مفاجأة
776049384,pervasive prelate coverup,Loaded_Language,تغطية مسبقة منتشرة
780787440,I’m not sure what his words will be and I’m not sure that a simple apology is what survivors of abuse want,Doubt,لست متأكدًا مما ستكون عليه كلماته، ولست متأكدًا من أن اعتذار بسيط هو ما يريده الناجون من سوء المعاملة.
999001299,rampant,Loaded_Language,متفشي
723537899,"Are the 2,000 U.S. troops in Syria really up to that task",Doubt,"هل ال2,000 جندي أمريكي في سوريا على مستوى هذه المهمة"
